Name,Category,State,Marker Type,Latitude,Longitude,Details,,,,,,,,,,,,,,,,,,,,
Grand Teton,National Park,Wyoming,Dot,"43° 49' 02.9"" N","110° 37' 54.1"" W",,,,,,,,,,,,,,,,,,,,,
Granite Peak,Mountain,Montana,Triangle,"45° 09' 49.3"" N","109° 48' 21.1"" W","12,807 feet",,,,,,,,,,,,,,,,,,,,
Great Basin,National Park,Nevada,Dot,"38° 56' 56.2"" N","114° 12' 42.6"" W",,,,,,,,,,,,,,,,,,,,,
Great Salt Lake,Lake,Utah,None,41° 6′ 56.9″ N,112° 28′ 36.5″ W,,,,,,,,,,,,,,,,,,,,,
Great Sand Dunes,National Park & Preserve,Colorado,Dot,"37° 46' 21.4"" N","105° 36' 27.9"" W",,,,,,,,,,,,,,,,,,,,,
Guadalupe Peak,Mountain,Texas,Triangle,"31° 53' 30.0"" N","104° 51' 31.2"" W",,,,,,,,,,,,,,,,,,,,,
Helena,City,Montana,Dot,"46° 35' 18.9"" N","112° 01' 58.8"" W",State Capital,,,,,,,,,,,,,,,,,,,,
Hell's Canyon Recreational Area,State Park,Oregon,Dot,"45° 30' 57.1"" N","116° 45' 21.9"" W",,,,,,,,,,,,,,,,,,,,,
Heron Lake,State Park,New Mexico,Dot,"36° 39' 55.9"" N","106° 41' 30.2"" W",,,,,,,,,,,,,,,,,,,,,
Humphreys Peak,Mountain,Arizona,Triangle,"35° 20' 50.3"" N","111° 40' 36.6"" W",,,,,,,,,,,,,,,,,,,,,
Joshua Tree,National Park,California,Dot,"33° 54' 13.2"" N","115° 51' 08.3"" W",,,,,,,,,,,,,,,,,,,,,
Juneau,City,Alaska,Star,58° 18′ 1.8″ N,134° 25′ 12.4″ W,State Capital,,,,,,,,,,,,,,,,,,,,
Kenai Fjords,National Park,Alaska,Dot,"59° 52' 43.2"" N","150° 05' 50.3"" W",,,,,,,,,,,,,,,,,,,,,
Kings Peak,Mountain,Utah,Triangle,"40° 46' 37.2"" N","110° 22' 17.8"" W","13,528 feet",,,,,,,,,,,,,,,,,,,,
Kobuk River,River,Alaska,None,"66° 55' 18.8"" N","160° 48' 48.1"" W",,,,,,,,,,,,,,,,,,,,,
Kodiak Island,Island,Alaska,None,"57° 32' 08.1"" N","153° 29' 55.9"" W",,,,,,,,,,,,,,,,,,,,,
Koyukuk River,River,Alaska,None,"65° 17' 50.2"" N","157° 57' 53.5"" W",,,,,,,,,,,,,,,,,,,,,
Kuskokwim River,River,Alaska,None,"61° 40' 49.2"" N","158° 35' 49.1"" W",,,,,,,,,,,,,,,,,,,,,
